ID,Attribute,Artist,Album Name,Price,Spec,Goodness,Condition,Category,Year
00033022,Vinyl,STEVE LAWRENCE,Steve Lawrence Meets Tennessee Ernie Ford,$20,CA 3007,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1963
R00125867,Vinyl,STING,...Nothing Like The Sun,$7,SP 6402,Good Plus (G+),Sleeve Condition,Very Good (VG),1987
R00126330,Vinyl,TEARS FOR FEARS,Change,$6.5,SOVX 2322,Very Good (VG),Sleeve Condition,Very Good (VG),1983
R00123038,Vinyl,TEN YEARS AFTER,Recorded Live,$14, C2X 32288,Very Good (VG),Sleeve Condition,Good Plus (G+),1973
R00123308,Vinyl,"THE 5 ECHOES, THE BLUENOTES, THE 5 CHANCES",Collectors Showcase Groups Three Vol. V,$6, CS-5 ,Very Good Plus (VG+),Sleeve Condition,Near Mint (NM or M-),1964
00059615,Vinyl,THE ALAN PARSONS PROJECT,Tales Of Mystery And Imagination - Edgar Allan Poe,$18.00,9209-508,Very Good Plus (VG+),Sleeve Condition,Very Good (VG),1976
R00126305,Vinyl,THE ASSOCIATION,Renaissance,$6.5,VLS 25004,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1966
R00126309,Vinyl,THE BEACH BOYS,Spirit Of America,$9.50,SVBB-11384,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1975
R00125328,Vinyl,THE BEATLES,1967-1970,$16.00,SKBO 3404,Very Good Plus (VG+),Sleeve Condition,Good (G),1973
R00126255,Vinyl,THE BEATLES,The Beatles,$60.00,SEBX-11841,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1978
R00126271,Vinyl,THE BEATLES,Meet The Beatles!,$48.00,ST 2047,Very Good Plus (VG+),Sleeve Condition,Good Plus (G+),1975
R00126322,Vinyl,THE FRONT,Gina's At A Party,$12.00,DSA 01,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1983
00051691,Vinyl,THE GEORGE SHEARING QUINTET,San Francisco Scene,$7, ST-1715 ,Good Plus (G+),Sleeve Condition,Very Good Plus (VG+),1962
R00126332,Vinyl,THE JONAH JONES QUARTET,Jonah Jumps Again,$7.5,T-1115,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1959
00052876,Vinyl,THE MODERN JAZZ QUARTET,The Sheriff,$32.49,SD 1414,Mint (M),Sleeve Condition,Very Good Plus (VG+),1964
R00123343,Vinyl,THE ORIGINAL INK SPOTS,Golden Favorites,$6, DL 4297 ,Very Good (VG),Sleeve Condition,Good Plus (G+),1962
R00126302,Vinyl,THELMA HOUSTON,Any Way You Like It,$4.00,T-345P1,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1976
R00126331,Vinyl,THEO VANESS,Back To Music,$4.00,PRL 12157,Very Good (VG),Sleeve Condition,Good (G),1978
R00126241,Vinyl,TIMEX SOCIAL CLUB,Rumors,$7.00,AM-23043,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1986
